Service ID,Service Name,Pricing Rule ID,Rule Name,Description,Pricing Type,Base Price,Billing Frequency,Active,Trigger Form Field,Required Form Field,Comparison Logic,Per-Unit Pricing,Unit Price,Unit Name,Quantity Source Field
individual-tax,2,individual-tax-rental-property,Rental Property Income (Schedule E),Income from rental properties,Add-on,,One-Time Fee,checked,individualTax.otherIncomeTypes,Rental Property Income,includes,checked,$50.00,property,individualTax.rentalPropertyCount
individual-tax,2,individual-tax-cryptocurrency,Cryptocurrency Sales,Digital asset transactions and sales,Add-on,$50.00,One-Time Fee,checked,individualTax.otherIncomeTypes,Cryptocurrency Sales,includes,,,,
individual-tax,2,individual-tax-partnership-k1,Publicly Traded Partnership K-1s,K-1s from publicly traded partnerships,Add-on,$50.00,One-Time Fee,checked,individualTax.otherIncomeTypes,Publicly Traded Partnership K-1s,includes,,,,
individual-tax,2,individual-tax-farm,Farm Income,Schedule F farm income,Add-on,$50.00,One-Time Fee,checked,individualTax.otherIncomeTypes,Farm Income,includes,,,,
individual-tax,2,individual-tax-gambling-income,Gambling Income,Gambling winnings and losses,Add-on,$50.00,One-Time Fee,checked,individualTax.otherIncomeTypes,Gambling Income,includes,,,,
individual-tax,2,individual-tax-foreign-income,Foreign Income,Foreign income and assets reporting,Add-on,$50.00,One-Time Fee,checked,individualTax.otherIncomeTypes,"Foreign Income
",includes,,,,
individual-tax,2,individual-tax-primary-home-sale,Primary Home Sale,Sale of primary residence,Add-on,$50.00,One-Time Fee,checked,individualTax.additionalConsiderations,Primary home sale,includes,,,,
individual-tax,2,individual-tax-investment-property-sale,Investment Property Sale,Sale of investment property,Add-on,$50.00,One-Time Fee,checked,individualTax.additionalConsiderations,Investment Property Sale,includes,,,,
individual-tax,2,individual-tax-multi-state,Multi-State Income,Additional state tax returns,Add-on,,One-Time Fee,checked,individualTax.additionalConsiderations,Income from multiple states,includes,checked,$50.00,state,individualTax.additionalStateCount
individual-tax,2,individual-tax-adoption,Adoption,Adoption credit and related expenses,Add-on,,One-Time Fee,checked,individualTax.additionalConsiderations,Adopted a child,includes,,,,
individual-tax,2,individual-tax-divorce,Divorce,Divorce-related tax implications,Add-on,,One-Time Fee,checked,individualTax.additionalConsiderations,Divorce,includes,,,,
individual-tax,2,individual-tax-marriage,Marriage,Marriage-related tax changes,Add-on,,One-Time Fee,checked,individualTax.additionalConsiderations,Marriage,includes,,,,
business-tax,3,business-tax-1120s,S-Corporation (1120S),Base S-Corp tax return preparation,Base Service,$650.00,One-Time Fee,checked,businessTax.entityType,S-Corporation,equals,,,,
business-tax,3,business-tax-1065,Partnership (1065),Base partnership tax return preparation,Base Service,$650.00,One-Time Fee,checked,businessTax.entityType,Partnership,equals,,,,
business-tax,3,business-tax-1065,Partnership (1065),Base partnership tax return preparation,Base Service,$650.00,One-Time Fee,checked,businessTax.entityType,LLC,equals,,,,
business-tax,3,business-tax-1120,C-Corporation (1120),Base C-Corp tax return preparation,Base Service,$850.00,One-Time Fee,checked,businessTax.entityType,C-Corporation,equals,,,,
business-tax,3,business-tax-additional-owners-partnership,Additional Owners Partnership,Fee per K-1 beyond 2 included,Add-on,,One-Time Fee,checked,businessTax.numberOfOwners,2,greaterThan,checked,$50.00,K-1,businessTax.numberOfOwners
business-tax,3,business-tax-additional-owners-llc,Additional Owners LLC,Fee per K-1 beyond 2 included,Add-on,,One-Time Fee,checked,businessTax.numberOfOwners,2,greaterThan,checked,$50.00,K-1,businessTax.numberOfOwners
business-tax,3,business-tax-additional-owners-scorp,Additional Owners S Corporation,Fee per K-1 beyond 1 included,Add-on,,One-Time Fee,checked,businessTax.numberOfOwners,1,greaterThan,checked,$50.00,K-1,businessTax.numberOfOwners
business-tax,3,business-tax-additional-owners-ccorp,Additional Owners C Corporation,Fee per K-1 beyond 1 included,Add-on,,One-Time Fee,checked,businessTax.numberOfOwners,1,greaterThan,checked,$50.00,K-1,businessTax.numberOfOwners
business-tax,3,business-tax-additional-state,Additional State Filing,Fee per additional state beyond first,Add-on,,One-Time Fee,checked,businessTax.otherSituations,Multi-state operations,includes,checked,$100.00,state,businessTax.additionalStateCount
business-tax,3,business-tax-inventory-management,Inventory Management,"Tax compliance for businesses that manufacture, distribute, or sell physical products.",Add-on,,One-Time Fee,checked,businessTax.otherSituations,Inventory Management,includes,,,,
business-tax,3,business-tax-equipment-depreciation,Equipment Depreciation,Strategic tax planning for business equipment and asset purchases. ,Add-on,,One-Time Fee,checked,businessTax.otherSituations,Equipment depreciation,includes,,,,
business-tax,3,business-tax-international-transactions,International Transactions,"Tax reporting and compliance for businesses with foreign operations, international sales, or cross-border transactions.",Add-on,,One-Time Fee,checked,businessTax.otherSituations,International transactions,includes,,,,
business-tax,3,business-tax-rd-tax-credits,R&D Tax Credits,Identification and documentation of qualifying research and development activities to claim federal and state tax credits.,Add-on,,One-Time Fee,checked,businessTax.otherSituations,R&D tax credits,includes,,,,
business-tax,3,business-tax-cost-segregation-studies,Cost Segregation Studies,Detailed analysis of commercial real estate and improvements to accelerate depreciation deductions.,Add-on,,One-Time Fee,checked,businessTax.otherSituations,Cost Segregation Studies,includes,,,,
business-tax,3,business-tax-ownership-change,Ownership Changes,New partners or ownership transfers,Add-on,$100.00,One-Time Fee,checked,businessTax.additionalConsiderations,Ownership changes,includes,,,,
business-tax,3,business-tax-first-year-entity,First Year Entity,Additional setup for new entities,Add-on,,One-Time Fee,checked,businessTax.additionalConsiderations,First Year Entity,includes,,,,
business-tax,3,business-tax-fixed-asset-acquisition,Fixed Asset/Equipment Acquisition,Fee for each fixed asset or equipment acquisition,Add-on,,One-Time Fee,checked,businessTax.additionalConsiderations,Fixed Asset/Equipment acquisitions,includes,checked,$50.00,Fixed Asset,businessTax.fixedAssetAcquisitionCount
bookkeeping,,bookkeeping-0-50k-revenue,Bookkeeping $0-50k Revenue Tier,Fee for Annual Revenue Tier ($0-$50k),Add-on,$75.00,Monthly,checked,bookkeeping.annualRevenue,"$0-$50,000",equals,,,,
bookkeeping,,bookkeeping-50k-250k-revenue,Bookkeeping $50k-250k Revenue Tier,Fee for Annual Revenue Tier ($0-$50k),Add-on,$175.00,Monthly,checked,bookkeeping.annualRevenue,"$50,000 - $250,000",equals,,,,
bookkeeping,,bookkeeping-250k-750k-revenue,Bookkeeping $250k-750k Revenue Tier,Fee for Annual Revenue Tier ($0-$50k),Add-on,$250.00,Monthly,checked,bookkeeping.annualRevenue,"$250,000 - $750,000",equals,,,,
bookkeeping,,bookkeeping-750k-1.5m-revenue,Bookkeeping $750k-$1.5M+ Revenue Tier,Fee for Annual Revenue Tier ($0-$50k),Add-on,$375.00,Monthly,checked,bookkeeping.annualRevenue,"$750,000 - $1,500,000",equals,,,,
bookkeeping,,bookkeeping-1.5m+-revenue,Bookkeeping $1.5M+ Revenue Tier,Fee for Annual Revenue Tier ($0-$50k),Add-on,$500.00,Monthly,checked,bookkeeping.annualRevenue,"$1,500,000+",equals,,,,
,,bookkeeping-0-25-monthly-transactions,0-25 Monthly Transaction Tier,Monthly Transaction Tier (0-25),Add-on,$75.00,Monthly,checked,bookkeeping.monthlyTransactions,0-25,equals,,,,
,,bookkeeping-26-50-monthly-transactions,26-50 Monthly Transaction Tier,Monthly Transaction Tier (26-50),Add-on,$175.00,Monthly,checked,bookkeeping.monthlyTransactions,26-50,equals,,,,
,,bookkeeping-51-100-monthly-transactions,51-100 Monthly Transaction Tier,Monthly Transaction Tier (51-100),Add-on,$250.00,Monthly,checked,bookkeeping.monthlyTransactions,51-100,equals,,,,
,,bookkeeping-101-200-monthly-transactions,101-200 Monthly Transaction Tier,Monthly Transaction Tier (101-200),Add-on,$375.00,Monthly,checked,bookkeeping.monthlyTransactions,101-200,equals,,,,
,,bookkeeping-201+-monthly-transactions,201+ Monthly Transaction Tier,Monthly Transaction Tier (201+),Add-on,$500.00,Monthly,checked,bookkeeping.monthlyTransactions,201+,equals,,,,
bookkeeping,4,bookkeeping-bank-account,Bank Account Management,Fee per bank account managed,Add-on,,Monthly,checked,services,bookkeeping,includes,checked,$25.00,account,bookkeeping.bankAccounts
bookkeeping,4,bookkeeping-credit-card,Credit Card Management,Fee per credit card account managed,Add-on,,Monthly,checked,services,bookkeeping,includes,checked,$25.00,card,bookkeeping.creditCards
bookkeeping,4,bookkeeping-business-loan,Business Loan Management,Fee per business loan account managed,Add-on,,Monthly,checked,services,bookkeeping,includes,checked,$50.00,loan,bookkeeping.bankLoans
bookkeeping,4,bookkeeping-fixed-assets,Fixed Asset Management,Fee per fixed asset tracked,Add-on,,Monthly,checked,bookkeeping.additionalConsiderations,Fixed Assets/Equipment,includes,checked,$50.00,asset,bookkeeping.fixedassets
bookkeeping,4,bookkeeping-inventory-management,Inventory Management,Fee for managing inventory,Add-on,$0.00,Monthly,checked,bookkeeping.additionalConsiderations,Inventory Management,includes,,,,
bookkeeping,4,bookkeeping-qbo-setup,QuickBooks Online Setup,One-time QuickBooks setup and configuration,Add-on,$250.00,One-Time Fee,checked,bookkeeping.additionalConsiderations,QuickBooks setup or training,includes,,,,
bookkeeping,4,bookkeeping-app-integrations,App Integrations,Third-party application integrations setup,Add-on,$0.00,One-Time Fee,checked,bookkeeping.additionalConsiderations,3rd party app integration,includes,,,,
bookkeeping,4,bookkeeping-monthly-reports,Monthly Financial Reports,Upgrade to monthly reporting from quarterly,Add-on,$0.00,Monthly,checked,bookkeeping.servicefrequency,Monthly,equals,,,,
bookkeeping,4,bookkeeping-quarterly-reports,Quarterly Financial Reports,Standard quarterly reporting (included),Add-on,$0.00,Monthly,checked,bookkeeping.servicefrequency,Quarterly,equals,,,,
bookkeeping,4,bookkeeping-cleanup,Books Cleanup/Catch-up,Catchup bookkeeping services based on months behind (2 hours per month),Add-on,,One-Time Fee,checked,bookkeeping.currentStatus,Books need to be caught up,equals,checked,$300.00,month,bookkeeping.monthsBehind
bookkeeping,4,bookkeeping-minimum-fee,Bookkeeping Minimum Fee,Minimum monthly fee for bookkeeping services,Base Service,$150.00,Monthly,checked,,,,,,,
additional-services,5,sales-tax-filing,Sales Tax Filing,Sales Tax Filing,Add-on,$50.00,Monthly,checked,additionalServices.specializedFilings,Sales Tax Filing,includes,,,,
additional-services,5,accounts-receivable-management,Accounts Receivable Management,"Accounts Receivable Management
",Add-on,,Monthly,checked,additionalServices.specializedFilings,Accounts Receivable Management,includes,checked,$85.00,"hour
",
additional-services,5,accounts-payable-management,Accounts Payable Management,Accounts Payable Management,Add-on,,Monthly,checked,additionalServices.specializedFilings,Accounts Payable Management,includes,checked,$85.00,"hour
",
additional-services,5,scorp-election,Form 2553 S-Corp Election,Form 2553 S-Corp Election,Add-on,$50.00,One-Time Fee,checked,additionalServices.specializedFilings,Form 2553 S-Corp Election,includes,,,,
additional-services,5,1099-filing,1099 Filing,1099 Filing,Add-on,,One-Time Fee,checked,additionalServices.specializedFilings,1099 Filing,includes,checked,$100.00,"hour
",
additional-services,5,schedulec-financial-statement-prep,Schedule C Financial Stmt Prep,Schedule C Financial Stmt Prep,Add-on,,One-Time Fee,checked,additionalServices.specializedFilings,Schedule C Financial Stmt Prep,includes,checked,$100.00,hour,
